Process	Genes
sphingolipid metabolic process	A3GALT2 A4GALT ACER1 ACER2 ACER3 AGK ALDH5A1 ALOX12B ALOXE3 ARSA ARSB ARSD ARSE ARSF ARSG ARSH ARSI ARSJ ARSK ARV1 ASAH1 ASAH2 ASAH2C B4GALNT1 BAX CCDC97 CEL CERK CERS1 CERS2 CERS3 CERS4 CERS5 CERS6 CLN3 CLN6 CLN8 COL4A3BP CREM CSNK1G2 CTSA DEGS1 DEGS2 ELOVL1 ENPP7 FA2H FAM57B GAL3ST1 GALC GBA GBA2 GBA3 GLA GLB1 GM2A HEXA HEXB HTRA2 ITGB8 KDSR KIT LARGE LASS1 MAP7 NAGA NEU1 NEU2 NEU3 NEU4 NSMAF ORMDL1 ORMDL2 ORMDL3 P2RX1 PLA2G15 PPAP2A PPAP2B PPAP2C PPM1L PPP2CA PPP2R1A PPT1 PRKD1 PSAP PSAPL1 SAMD8 SERINC1 SERINC2 SERINC3 SERINC5 SFTPB SGMS1 SGMS2 SGPL1 SGPP1 SGPP2 SMPD1 SMPD2 SMPD3 SMPD4 SMPDL3A SMPDL3B SPHK1 SPHK2 SPNS2 SPTLC1 SPTLC2 SPTLC3 SPTSSA SPTSSB ST3GAL5 ST6GALNAC3 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA4 ST8SIA5 ST8SIA6 STS SUMF1 TEX2 TH UGCG UGT8 VAPA VAPB
sphingosine metabolic process	ACER1 ACER2 ACER3 GBA SGPP1 SGPP2 SPHK1 SPHK2 SPTLC1 SPTLC2
ceramide metabolic process	ACER1 ACER2 ACER3 AGK ALDH5A1 ALOX12B ALOXE3 ASAH1 ASAH2 B4GALNT1 CCDC97 CEL CERK CERS1 CERS2 CERS3 CERS4 CERS5 CERS6 CLN3 CLN6 CLN8 COL4A3BP DEGS2 FAM57B GAL3ST1 GALC GBA GBA2 GBA3 GLA GM2A HEXB HTRA2 ITGB8 LASS1 NAGA NEU2 NEU3 NEU4 NSMAF ORMDL1 ORMDL2 ORMDL3 P2RX1 PLA2G15 PPP2CA PPP2R1A SAMD8 SGPL1 SMPD1 SMPD2 SMPD4 SPTLC1 SPTLC2 ST3GAL5 ST6GALNAC3 ST6GALNAC6 ST8SIA2 ST8SIA3 ST8SIA4 ST8SIA6 UGCG UGT8
glycosylceramide metabolic process	ALDH5A1 CLN3 GAL3ST1 GALC GBA GBA2 GBA3 GLA NAGA ST6GALNAC3 ST6GALNAC6 UGCG UGT8
sphingomyelin metabolic process	CLN3 ENPP7 SAMD8 SGMS1 SGMS2 SMPD1 SMPD2 SMPD3 SMPD4 SMPDL3A SMPDL3B SPTLC1 SPTLC2
glycosphingolipid metabolic process	A3GALT2 A4GALT ALDH5A1 ARSA ARSB ARSD ARSE ARSF ARSG ARSH ARSI ARSJ ARSK ASAH1 ASAH2 B4GALNT1 BAX CERK CLN3 CLN6 CREM CTSA ENPP7 GAL3ST1 GALC GBA GBA2 GBA3 GLA GLB1 GM2A HEXA HEXB ITGB8 KIT LARGE MAP7 NAGA NEU1 NEU2 NEU3 NEU4 PSAP SMPD1 SMPD2 SMPD3 SMPD4 ST3GAL5 ST6GALNAC3 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA4 ST8SIA5 ST8SIA6 STS SUMF1 UGCG UGT8
glycosphingolipid biosynthetic process	A3GALT2 A4GALT B4GALNT1 GAL3ST1 LARGE ST3GAL5 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA4 ST8SIA5 ST8SIA6 UGCG UGT8
icosanoid metabolic process	ABCC1 ACOX1 AKR1C2 AKR1C3 ALOX12 ALOX12B ALOX15 ALOX15B ALOX5 ALOX5AP ALOXE3 AOPEP C9ORF3 CBR1 CD74 COX-2 CYP1A1 CYP1A2 CYP1B1 CYP2C19 CYP2C8 CYP2C9 CYP2J2 CYP2U1 CYP4A11 CYP4F12 CYP4F2 CYP4F3 CYP4F8 DAGLA DAGLB DPEP1 DPEP2 EDN1 EDN2 EPHX2 FADS1 FAM213B FCER1A GGT1 GGT2 GGT3P GGT5 GGT6 GGT7 GGTA1P GGTLC1 GGTLC2 GGTLC3 GPX1 GPX4 HPGD HPGDS LTA4H LTC4S MAPKAPK2 MGLL MGST2 MIF NCF1 PDPN PLA2G10 PLA2G1B PLA2G3 PLA2G4A PLA2G4B PLA2G4C PLA2G4F PLA2G5 PNPLA8 PRG3 PTGDS PTGES PTGES2 PTGES3 PTGIS PTGR1 PTGR2 PTGS1 PTGS2 RNPEP RNPEPL1 SPHK1 SSTR4 SYK TBXAS1 TLR2 TNFRSF1A
leukotriene metabolic process	ABCC1 ALOX12 ALOX15 ALOX5 ALOX5AP AOPEP C9ORF3 CYP4A11 CYP4F12 CYP4F2 CYP4F3 DPEP1 DPEP2 FCER1A GGT1 GGT2 GGT3P GGT5 GGT6 GGT7 GGTA1P GGTLC1 GGTLC2 GGTLC3 LTA4H LTC4S MAPKAPK2 MGST2 NCF1 PLA2G1B PLA2G5 PRG3 PTGR1 RNPEP RNPEPL1 SYK TLR2
prostanoid metabolic process	ACOX1 AKR1C2 AKR1C3 CD74 CYP4F8 EDN1 EDN2 FAM213B HPGD HPGDS MIF PDPN PLA2G4F PNPLA8 PTGDS PTGES PTGES2 PTGES3 PTGIS PTGR2 PTGS1 PTGS2 TNFRSF1A
prostaglandin metabolic process	ACOX1 AKR1C2 AKR1C3 CD74 CYP4F8 EDN1 EDN2 FAM213B HPGD HPGDS MIF PDPN PLA2G4F PNPLA8 PTGDS PTGES PTGES2 PTGES3 PTGIS PTGR2 PTGS1 PTGS2 TNFRSF1A
steroid biosynthetic process	ABCB11 ACAA2 ACBD3 ACOT8 ACOX2 ADM AKR1B1 AKR1C3 AKR1C4 AKR1D1 AMACR APOA1 BAAT C14ORF1 CACNA1H CFTR CH25H CNBP CRH CYB5R1 CYB5R2 CYB5R3 CYP11A1 CYP11B1 CYP11B2 CYP17A1 CYP19A1 CYP21A2 CYP27A1 CYP27B1 CYP2R1 CYP39A1 CYP3A4 CYP46A1 CYP51A1 CYP7A1 CYP7B1 CYP8B1 DHCR24 DHCR7 EBP FDFT1 FDPS FDX1 FDXR FSHB G6PD GGPS1 HINT2 HMGCR HMGCS1 HMGCS2 HSD11B1 HSD11B2 HSD17B1 HSD17B11 HSD17B12 HSD17B2 HSD17B3 HSD17B4 HSD17B6 HSD17B7 HSD17B8 HSD3B1 HSD3B2 HSD3B7 IDI1 IDI2 INSIG1 INSIG2 LBR LHB LSS MED1 MSMO1 MVD MVK NDUFA9 NPC1L1 NR0B1 NSDHL PBX1 PEX2 PMVK PRKAA1 PRKAA2 PRKAG2 PRLR RDH8 SC5D SCARB1 SCP2 SDR42E1 SDR42E2 SLC27A2 SLC27A5 SQLE SRD5A1 SRD5A2 SRD5A3 STAR STARD3 STARD5 TFCP2L1 TM7SF2 TRERF1 TSPO WNT4
cholesterol biosynthetic process	ACAA2 APOA1 CFTR CNBP CYB5R3 CYP51A1 DHCR24 DHCR7 EBP FDFT1 FDPS G6PD GGPS1 HMGCR HMGCS1 HMGCS2 HSD17B7 IDI1 IDI2 INSIG1 INSIG2 LBR LSS MSMO1 MVD MVK NPC1L1 NSDHL PMVK PRKAA1 PRKAA2 SC5D SQLE TM7SF2
bile acid biosynthetic process	ABCB11 ACOT8 ACOX2 AKR1C4 AKR1D1 AMACR BAAT CH25H CYP27A1 CYP39A1 CYP46A1 CYP7A1 CYP7B1 CYP8B1 HSD17B4 HSD3B7 PEX2 SCP2 SLC27A2 SLC27A5 STAR
C21-steroid hormone biosynthetic process	ADM AKR1B1 CACNA1H CYP11A1 CYP11B1 CYP11B2 FSHB LHB SCP2 STAR STARD3 STARD5
androgen biosynthetic process	AKR1C3 CYP11A1 CYP17A1 HSD17B1 HSD17B3 HSD17B6 HSD3B1 HSD3B2 MED1 SCARB1 SRD5A1 SRD5A2 SRD5A3 STAR WNT4
estrogen biosynthetic process	CYP11A1 CYP19A1 HSD17B1 HSD17B12 HSD17B7 HSD17B8 HSD3B1 RDH8 STAR
glucocorticoid biosynthetic process	CACNA1H CRH CYP11B1 CYP11B2 CYP17A1 CYP21A2 HSD11B1 HSD11B2 HSD3B1 HSD3B2
steroid catabolic process	AKR1D1 APOE CEL CYP1A2 CYP24A1 CYP27B1 CYP39A1 CYP3A4 CYP46A1 CYP7A1 FGF23 HSD17B11 HSD17B14 HSD17B6 MT3 SCARB1 SCARF1 SNX17 STS SULT2A1 TRERF1 UGT2B4 YWHAH
cholesterol catabolic process	AKR1D1 APOE CEL CYP39A1 CYP46A1 CYP7A1 MT3 SCARB1 SCARF1 SNX17 TRERF1
isoprenoid metabolic process	ABCA4 ADH4 ADH5 ADH7 AGRN AKR1B10 AKR1C1 AKR1C3 AKR1C4 ALDH1A1 ALDH1A2 ALDH1A3 ALDH3A2 ALDH8A1 APOA1 APOA2 APOA4 APOB APOC2 APOC3 APOE AWAT2 BCMO1 BCO2 CLPS COQ2 CRABP2 CRH CYP1A1 CYP1A2 CYP1B1 CYP26A1 CYP26B1 CYP26C1 CYP2C19 CYP2C9 CYP2D6 CYP2E1 CYP3A4 DGAT1 DGAT2 DHRS3 DHRS9 DPAGT1 DPM1 DPM2 EGFR FDFT1 FDPS GGPS1 GPC1 GPC2 GPC3 GPC4 GPC5 GPC6 HMGCR HMGCS1 HMGCS2 HSPG2 HTRA2 IDI1 IDI2 ISPD LDLR LPL LRAT LRP1 LRP2 LRP8 MVD MVK OPN1LW OPN1MW OPN1SW PDE3A PDSS1 PDSS2 PECR PHYH PLB1 PNLIP PPARD RALDH2 RARRES2 RBP1 RBP2 RBP3 RBP4 RDH10 RDH11 RDH12 RDH5 RDH8 RETSAT RHO RLBP1 RPE65 SCPEP1 SDC1 SDC2 SDC3 SDC4 SDR16C5 SRD5A3 STAR STRA6 TH TTR UGT1A1 UGT1A3 UGT1A7 UGT1A8 UGT1A9
terpenoid metabolic process	ABCA4 ADH4 ADH5 ADH7 AGRN AKR1B10 AKR1C1 AKR1C3 AKR1C4 ALDH1A1 ALDH1A2 ALDH1A3 ALDH3A2 ALDH8A1 APOA1 APOA2 APOA4 APOB APOC2 APOC3 APOE AWAT2 BCMO1 BCO2 CLPS CRABP2 CRH CYP1A1 CYP1A2 CYP1B1 CYP26A1 CYP26B1 CYP26C1 CYP2C19 CYP2C9 CYP2D6 CYP2E1 CYP3A4 DGAT1 DGAT2 DHRS3 DHRS9 EGFR FDFT1 FDPS GGPS1 GPC1 GPC2 GPC3 GPC4 GPC5 GPC6 HSPG2 HTRA2 LDLR LPL LRAT LRP1 LRP2 LRP8 OPN1LW OPN1MW OPN1SW PDE3A PECR PLB1 PNLIP PPARD RALDH2 RARRES2 RBP1 RBP2 RBP3 RBP4 RDH10 RDH11 RDH12 RDH5 RDH8 RETSAT RHO RLBP1 RPE65 SCPEP1 SDC1 SDC2 SDC3 SDC4 SDR16C5 STAR STRA6 TTR UGT1A1 UGT1A3 UGT1A7 UGT1A8 UGT1A9
one-carbon metabolic process	AHCY AHCYL1 AHCYL2 ALDH1L1 ALDH1L2 CA1 CA12 CA13 CA2 CA3 CA4 CA5A CA5B CA6 CA7 CA8 CA9 DHFR DHFRL1 FPGS FTCD GNMT MAT1A MAT2A MAT2B MTHFD1 MTHFD1L MTHFD2 MTHFD2L MTHFR SHMT1 SHMT2
coenzyme metabolic process	AADAT AASDHPPT AASS ACACA ACACB ACLY ACOT1 ACOT12 ACOT2 ACOT4 ACOT7 ACOT8 ACOT9 ACSL1 ACSL4 ACSL5 ACSL6 ACSM2A ACSM4 ACSS1 ACSS2 ADCK3 AFMID AGPAT6 ALDH1L1 ALDH1L2 ALDOB APIP ASPDH ATIC BAAT BHMT BHMT2 C9JCJ5 CARKD CBR3 COASY COQ2 COQ3 COQ4 COQ5 COQ6 COQ7 COQ9 CROT CYB5R4 CYP4F11 CYP4F12 CYP4F2 DCAKD DCXR DGAT1 DGAT2 DHFR DHFRL1 DLST ELOVL1 ELOVL2 ELOVL3 ELOVL4 ELOVL5 ELOVL6 ELOVL7 FAR1 FAR2 FASN FDXR FLAD1 FMO1 FMO2 FOLH1 FOLR1 FPGS FTCD G6PD GART GCDH GCH1 GCK GLYAT GLYR1 GNMT GPAM GPD1 GPD1L GPHN H6PD HAAO HIBADH HMGCL HMGCR HSD17B12 HSD17B4 IDH1 IDH3B KMO KYNU LDHB LIAS LIPT2 MAT1A MAT2A MAT2B MCCC2 MCEE MDH1 MDH2 ME1 MLYCD MOCOS MOCS1 MOCS2 MOCS3 MRI1 MTHFD1 MTHFD1L MTHFD2 MTHFD2L MTHFR MTHFS MTRR MVD MVK NADK NADK2 NADSYN1 NAMPT NAMPTL NAPRT NFS1 NMNAT1 NMNAT2 NMNAT3 NMRK1 NMRK2 NOX1 NUDT12 NUDT7 OCLN OGDH OXSM PANK1 PANK2 PANK3 PANK4 PCBD1 PCBD2 PCK2 PCMT1 PDHA1 PDHB PDSS1 PDSS2 PDXK PGD PGLS PIPOX PMVK PNP PNPO PPCDC PPCS PRDX5 PTS QDPR QPRT RFK RPE RPEL1 RPIA SHMT1 SHMT2 SLC19A1 SLC25A1 SLC25A16 SLC25A32 SLC46A1 SLC5A6 SPR SUCLA2 SUCLG1 SUCLG2 TALDO1 TDO2 TECR THEM5 THTPA TKT TP53I3 TPI1 TPK1 TYMS UBIAD1 VNN1 VNN2 VNN3
oxidoreduction coenzyme metabolic process	ADCK3 AFMID ALDOB ASPDH C9JCJ5 CARKD COQ2 COQ3 COQ4 COQ5 COQ6 COQ7 COQ9 CYB5R4 DCXR FDXR FMO1 FMO2 G6PD GCK GLYR1 GPD1 GPD1L H6PD HAAO HIBADH HMGCR IDH1 IDH3B KMO KYNU LDHB MDH1 MDH2 ME1 NADK NADK2 NADSYN1 NAMPT NAMPTL NAPRT NMNAT1 NMNAT2 NMNAT3 NMRK1 NMRK2 NOX1 NUDT12 OGDH PCK2 PDSS1 PDSS2 PGD PGLS PNP PRDX5 QPRT RPE RPEL1 RPIA TALDO1 TKT TP53I3 TPI1 UBIAD1
NADH metabolic process	ALDOB GPD1 GPD1L IDH3B MDH1 MDH2 OGDH PCK2
NADP metabolic process	ASPDH CYB5R4 DCXR FDXR FMO1 FMO2 G6PD GCK GLYR1 H6PD HIBADH IDH1 ME1 NADK NADK2 NOX1 NUDT12 PGD PGLS PRDX5 RPE RPEL1 RPIA TALDO1 TKT TP53I3 TPI1
NADPH regeneration	G6PD GLYR1 H6PD HIBADH IDH1 PGD PGLS RPE RPEL1 RPIA TALDO1 TKT TPI1
ubiquinone metabolic process	ADCK3 COQ2 COQ3 COQ4 COQ5 COQ6 COQ7 COQ9 HMGCR PDSS1 PDSS2 UBIAD1
ubiquinone biosynthetic process	ADCK3 COQ2 COQ3 COQ4 COQ5 COQ6 COQ7 COQ9 PDSS1 PDSS2 UBIAD1
glutathione metabolic process	ALDH5A1 CNDP2 CTNS DPEP1 ETHE1 G6PD GCLC GCLM GGCT GGT1 GGT2 GGT3P GGT5 GGT6 GGT7 GGTA1P GGTLC1 GGTLC2 GGTLC3 GLO1 GLRX2 GPX1 GPX4 GSR GSS GSTA1 GSTA2 GSTA3 GSTA4 GSTA5 GSTK1 GSTM1 GSTM2 GSTM3 GSTM4 GSTM5 GSTP1 GSTT1 GSTZ1 HAGH HAGHL IDH1 MGST1 MGST2 NAT8 OPLAH PNKD SOD1 SOD2
glutathione biosynthetic process	CNDP2 GCLC GCLM GGCT GGT1 GGT2 GGT3P GGT5 GGT6 GGT7 GSS HAGH HAGHL MGST2 OPLAH PNKD
ATP biosynthetic process	AK9 ALDOA ATP12A ATP1A1 ATP1A2 ATP1A3 ATP1A4 ATP4A ATP5A1 ATP5B ATP5C1 ATP5D ATP5E ATP5EP2 ATP5F1 ATP5G1 ATP5G2 ATP5G3 ATP5H ATP5I ATP5J ATP5J2 ATP5L ATP5L2 ATP5O ATP5S CHCHD10 GBAS H7C0C1 LDHC MT-ATP6 MT-ATP8 PKLR PRKAG2 SLC25A13 STOML2 SURF1 TGFB1 VPS9D1
folic acid-containing compound metabolic process	ALDH1L1 ALDH1L2 ATIC DHFR DHFRL1 FOLH1 FOLR1 FPGS FTCD GART GCH1 MTHFD1 MTHFD1L MTHFD2 MTHFD2L MTHFR MTHFS MTRR PIPOX SHMT1 SHMT2 SLC19A1 SLC25A32 SLC46A1 TYMS
vitamin metabolic process	AASDHPPT ABCC1 ABCD4 ACACA ACACB ACP5 ACPP AKR1A1 ALDH1A2 AMN AOX1 BCMO1 BTD CBR1 CD320 COASY CTRB1 CTRB2 CUBN CYB5A CYB5R3 CYP11A1 CYP1A1 CYP24A1 CYP26A1 CYP26B1 CYP26C1 CYP27A1 CYP27B1 CYP2R1 CYP3A4 CYP4F11 CYP4F12 CYP4F2 DHFR ENPP1 FASN FGF23 FLAD1 FOLR1 FPGS GC GCLC GIF GPHN GSTO1 GSTO2 HLCS LGMN LMBRD1 LRAT LRP2 MCCC1 MCCC2 MMAA MMAB MMACHC MMADHC MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR MTR MTRR MUT NADK NADSYN1 NAMPT NAPRT NFS1 NMNAT1 NMNAT2 NMNAT3 PANK1 PANK2 PC PCCA PCCB PDXK PLTP PNPO PPARD PPCDC PPCS PRSS1 PRSS3 PSAT1 QPRT RBP1 RBP2 RFK RGN RLBP1 RPE65 RXRA SHMT1 SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A16 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 SLC5A6 TCN1 TCN2 THTPA TKTL1 TPK1 TTPA UBIAD1 VKORC1 VKORC1L1 VNN1 VNN2 VNN3
water-soluble vitamin metabolic process	AASDHPPT ABCC1 ABCD4 ACACA ACACB ACP5 ACPP AKR1A1 AMN AOX1 BTD CD320 COASY CTRB1 CTRB2 CUBN CYB5A CYB5R3 DHFR ENPP1 FASN FLAD1 FOLR1 FPGS GCLC GIF GPHN GSTO1 GSTO2 HLCS LMBRD1 MCCC1 MCCC2 MMAA MMAB MMACHC MMADHC MOCOS MOCS1 MOCS2 MOCS3 MTHFD1 MTHFR MTR MTRR MUT NADK NADSYN1 NAMPT NAPRT NFS1 NMNAT1 NMNAT2 NMNAT3 PANK1 PANK2 PC PCCA PCCB PDXK PNPO PPCDC PPCS PRSS1 PRSS3 PSAT1 QPRT RFK RGN SHMT1 SLC19A1 SLC19A2 SLC19A3 SLC23A1 SLC23A2 SLC25A16 SLC25A32 SLC2A1 SLC2A3 SLC46A1 SLC52A3 SLC5A6 TCN1 TCN2 THTPA TKTL1 TPK1 VNN1 VNN2 VNN3
biotin metabolic process	ACACA ACACB BTD HLCS MCCC1 MCCC2 PC PCCA PCCB SLC5A6
fat-soluble vitamin metabolic process	ALDH1A2 BCMO1 CBR1 CUBN CYP11A1 CYP1A1 CYP24A1 CYP26A1 CYP26B1 CYP26C1 CYP27A1 CYP27B1 CYP2R1 CYP3A4 CYP4F11 CYP4F12 CYP4F2 FGF23 GC LGMN LRAT LRP2 PLTP PPARD RBP1 RBP2 RLBP1 RPE65 TTPA UBIAD1 VKORC1 VKORC1L1
vitamin A metabolic process	ALDH1A2 BCMO1 LRAT PPARD RBP1 RBP2 RLBP1 RPE65
porphyrin-containing compound metabolic process	ABCB6 ALAD ALAS1 ALAS2 AMBP ANK1 ATPIF1 BDH2 BLVRA BLVRB COX10 COX15 CPOX CYP1A1 CYP1A2 EIF2AK1 FECH FXN HMBS HMOX1 HMOX2 HPX IBA57 IREB2 NFE2L1 PPOX RSAD1 SLC11A2 SLC25A38 SLC25A39 SPTA1 SPTB SUCLA2 TMEM14C TSPO UGT1A1 UROD UROS
porphyrin-containing compound biosynthetic process	ABCB6 ALAD ALAS1 ALAS2 ANK1 ATPIF1 COX10 COX15 CPOX FECH FXN HMBS IBA57 IREB2 NFE2L1 PPOX RSAD1 SLC11A2 SLC25A38 SLC25A39 SPTA1 SPTB SUCLA2 TMEM14C TSPO UROD UROS
protoporphyrinogen IX biosynthetic process	ALAD ALAS1 ALAS2 CPOX HMBS IREB2 PPOX UROD UROS
heme biosynthetic process	ALAD ALAS1 ALAS2 ATPIF1 COX10 COX15 CPOX FECH FXN HMBS IBA57 NFE2L1 PPOX SLC11A2 SLC25A38 SLC25A39 TMEM14C TSPO UROD UROS
sulfur compound metabolic process	AADAT AASS ACACA ACACB ACAN ACLY ACOT1 ACOT12 ACOT2 ACOT4 ACOT7 ACOT8 ACOT9 ACPP ACSL1 ACSL4 ACSL5 ACSL6 ACSM2A ACSM4 ACSS1 ACSS2 ADI1 AGPAT6 AGRN AGXT AHCY ALDH5A1 AMD1 ANGPT1 APIP ARSB ARSG B3GALT6 B3GAT1 B3GAT2 B3GAT3 B3GNT1 B3GNT2 B3GNT3 B3GNT4 B3GNT7 B4GALT1 B4GALT2 B4GALT3 B4GALT4 B4GALT5 B4GALT6 B4GALT7 BAAT BCAN BGN BHMT BHMT2 BPNT1 BTD CACNA1A CBS CDO1 CHPF CHPF2 CHST1 CHST11 CHST12 CHST13 CHST14 CHST15 CHST2 CHST3 CHST4 CHST5 CHST6 CHST7 CHST8 CHST9 CHSY1 CHSY3 CNDP2 CPS1 CSAD CSGALNACT1 CSGALNACT2 CSPG4 CSPG5 CTH CTNS CYTL1 DCN DGAT1 DGAT2 DLST DNMT3A DNMT3B DPEP1 DSE DSEL EGFLAM EGFR EIF2B1 EIF2B2 EIF2B4 ELOVL1 ELOVL2 ELOVL3 ELOVL4 ELOVL5 ELOVL6 ELOVL7 ENOPH1 ENPP1 ETHE1 EXT1 EXT2 EXTL2 EXTL3 FAR1 FAR2 FASN FMOD G6PD GAL3ST3 GAL3ST4 GALNS GCDH GCLC GCLM GGCT GGT1 GGT2 GGT3P GGT5 GGT6 GGT7 GGTA1P GGTLC1 GGTLC2 GGTLC3 GHR GLB1 GLCE GLO1 GLRX2 GLYAT GNMT GNS GOT1 GPAM GPC1 GPC2 GPC3 GPC4 GPC5 GPC6 GPX1 GPX4 GSR GSS GSTA1 GSTA2 GSTA3 GSTA4 GSTA5 GSTK1 GSTM1 GSTM2 GSTM3 GSTM4 GSTM5 GSTP1 GSTT1 GSTZ1 GXYLT1 HAGH HAGHL HEXA HEXB HLCS HMGCL HPSE HS3ST3B1 HS3ST4 HS3ST5 HS6ST1 HS6ST2 HS6ST3 HSD17B12 HSD17B4 HSPG2 HYAL1 HYAL4 IDH1 IDS IDUA IGF1 IMPAD1 KERA KYNU LIAS LIPT2 LPO LUM MAMDC2 MAT1A MAT2A MAT2B MCCC1 MCCC2 MCEE MGST1 MGST2 MICAL1 MICAL2 MLYCD MPST MRI1 MSRA MTAP MTHFD1 MTHFD2L MTHFR MTR MTRR MUT MVD MVK NAT8 NCAN NDNF NDST1 NDST2 NDST3 NDST4 NFS1 NOX4 NUDT7 OCLN OGDH OGN OMD OPLAH OXSM PAPSS1 PAPSS2 PC PCCA PCCB PCMT1 PCYOX1 PCYOX1L PDHA1 PDHB PHGDH PIPOX PMVK PNKD PRELP SDC1 SDC2 SDC3 SDC4 SLC19A2 SLC19A3 SLC25A1 SLC25A10 SLC26A1 SLC26A2 SLC35B2 SLC35B3 SLC35D1 SLC35D2 SLC5A6 SMS SOD1 SOD2 SPOCK2 SPOCK3 SQRDL ST3GAL1 ST3GAL2 ST3GAL3 ST3GAL4 ST3GAL6 STAT5A STAT5B SUCLA2 SUCLG1 SUCLG2 SULF1 SULF2 SULT1A1 SULT1A2 SULT1B1 SULT1C2 SULT1C3 SULT1C4 SULT1E1 SULT2A1 SULT2B1 SULT4A1 SUOX TDO2 TECR THEM5 THTPA TKTL1 TMP_LOCUS_3 TPK1 TPST1 TPST2 TST UST VCAN XYLT1 XYLT2
superoxide metabolic process	ALOX12 APOA4 ATP7A CCS CYB5R4 CYBA CYBB DUOX1 EDN1 FANCC MPO MT3 NCF1 NCF2 NOS2 NOX1 NOX3 NOX4 NOX5 NOXA1 NOXO1 NQO1 NRROS PRDX1 PRDX2 PREX1 PRG3 SH3PXD2A SH3PXD2B SOD1 SOD2 SOD3
xenobiotic metabolic process	ACSL1 ACSM1 ACSM2B ACSS1 ACSS2 ADH1A ADH1B ADH1C ADH4 ADH6 ADH7 AHCY AHR AIP AKR1C1 ALDH1A1 ALDH2 AS3MT BPNT1 CNDP2 COMT CRYZ CYP11A1 CYP11B1 CYP11B2 CYP17A1 CYP19A1 CYP1A1 CYP1A2 CYP1B1 CYP21A2 CYP24A1 CYP26A1 CYP26B1 CYP26C1 CYP27A1 CYP27B1 CYP2A13 CYP2A6 CYP2B6 CYP2C18 CYP2C19 CYP2C8 CYP2C9 CYP2D6 CYP2E1 CYP2F1 CYP2J2 CYP2R1 CYP2S1 CYP2U1 CYP2W1 CYP39A1 CYP3A4 CYP3A43 CYP3A5 CYP3A7 CYP46A1 CYP4A11 CYP4B1 CYP4F11 CYP4F12 CYP4F2 CYP4F3 CYP4F8 CYP51A1 CYP7A1 CYP7B1 CYP8B1 EPHX2 FMO1 FMO2 FMO3 GCLC GCLM GGCT GGT1 GGT2 GLYAT GRIN1 GSS GSTA1 GSTA2 GSTA3 GSTA4 GSTM1 GSTM2 GSTM3 GSTM4 GSTM5 GSTO1 GSTO2 GSTP1 GSTT1 GSTT2B GSTZ1 HNF4A HPGDS LPO MAOA MAOB MAT1A MAT2A MAT2B MGST1 MGST2 MGST3 MTR MTRR NAT1 NAT2 NCEH1 NNMT NQO1 NR1I2 OPLAH PAOX PAPSS1 PAPSS2 PON3 PTGIS PTGS1 RORA RORC S100A12 SLC26A1 SLC26A2 SLC35B2 SLC35B3 SLC35D1 SMOX STAR SULT1A1 SULT1A2 SULT1B1 SULT1C2 SULT1C4 SULT1E1 SULT2A1 SULT2B1 SULT4A1 TBXAS1 TPMT UGDH UGP2 UGT1A1 UGT1A3 UGT1A4 UGT1A6 UGT1A7 UGT1A8 UGT1A9 UGT2B11 UGT2B15 UGT2B28 UGT2B4
nitric oxide biosynthetic process	AKT1 ARG2 CYP1B1 DDAH2 GCH1 GCHFR NOS1 NOS2 NOS3 NQO1 P2RX4 RORA SLC7A2 SPR
